timestamp,parking_id,capacity,occupancy,available_spaces,occupancy_rate,hour,weekday
2024-03-01 00:00:00,PARK_01,80,26,54,0.325,0,4
2024-03-01 00:30:00,PARK_01,80,16,64,0.2,0,4
2024-03-01 01:00:00,PARK_01,80,14,66,0.175,1,4
2024-03-01 01:30:00,PARK_01,80,18,62,0.225,1,4
2024-03-01 02:00:00,PARK_01,80,16,64,0.2,2,4
2024-03-01 02:30:00,PARK_01,80,23,57,0.287,2,4
2024-03-01 03:00:00,PARK_01,80,26,54,0.325,3,4
2024-03-01 03:30:00,PARK_01,80,26,54,0.325,3,4
2024-03-01 04:00:00,PARK_01,80,16,64,0.2,4,4
2024-03-01 04:30:00,PARK_01,80,26,54,0.325,4,4
2024-03-01 05:00:00,PARK_01,80,26,54,0.325,5,4
2024-03-01 05:30:00,PARK_01,80,30,50,0.375,5,4
2024-03-01 06:00:00,PARK_01,80,38,42,0.475,6,4
2024-03-01 06:30:00,PARK_01,80,33,47,0.412,6,4
2024-03-01 07:00:00,PARK_01,80,37,43,0.463,7,4
2024-03-01 07:30:00,PARK_01,80,33,47,0.412,7,4
2024-03-01 08:00:00,PARK_01,80,48,32,0.6,8,4
2024-03-01 08:30:00,PARK_01,80,42,38,0.525,8,4
2024-03-01 09:00:00,PARK_01,80,47,33,0.588,9,4
2024-03-01 09:30:00,PARK_01,80,53,27,0.662,9,4
2024-03-01 10:00:00,PARK_01,80,58,22,0.725,10,4
2024-03-01 10:30:00,PARK_01,80,61,19,0.762,10,4
2024-03-01 11:00:00,PARK_01,80,54,26,0.675,11,4
2024-03-01 11:30:00,PARK_01,80,60,20,0.75,11,4
2024-03-01 12:00:00,PARK_01,80,51,29,0.637,12,4
2024-03-01 12:30:00,PARK_01,80,46,34,0.575,12,4
2024-03-01 13:00:00,PARK_01,80,47,33,0.588,13,4
2024-03-01 13:30:00,PARK_01,80,53,27,0.662,13,4
2024-03-01 14:00:00,PARK_01,80,48,32,0.6,14,4
2024-03-01 14:30:00,PARK_01,80,43,37,0.537,14,4
2024-03-01 15:00:00,PARK_01,80,44,36,0.55,15,4
2024-03-01 15:30:00,PARK_01,80,42,38,0.525,15,4
2024-03-01 16:00:00,PARK_01,80,44,36,0.55,16,4
2024-03-01 16:30:00,PARK_01,80,43,37,0.537,16,4
2024-03-01 17:00:00,PARK_01,80,48,32,0.6,17,4
2024-03-01 17:30:00,PARK_01,80,43,37,0.537,17,4
2024-03-01 18:00:00,PARK_01,80,43,37,0.537,18,4
2024-03-01 18:30:00,PARK_01,80,47,33,0.588,18,4
